Bulletin_Nr,Week,Wochenbeginn,Wochenende,Year,PopCity,PopCanton,Deaths,Deaths1000,Influenza_Stadt,IncCIty1000,Influenza_Kanton,IncCanton1000,Andere_Infekt,Total_Aufnahmen,HospInf1000,HospTot1000
8,633,05.02.22,11.02.22,1922,199800,537000,71,0.36,767,3.84,1765,3.29,48,336,0.09,0.63
9,634,12.02.22,18.02.22,1922,199800,537000,85,0.43,465,2.33,910,1.69,22,328,0.04,0.61
10,635,19.02.22,25.02.22,1922,199800,537000,52,0.26,604,3.02,970,1.81,12,370,0.02,0.69
11,636,26.02.22,04.03.22,1922,199800,537000,51,0.26,95,0.48,383,0.71,7,288,0.01,0.54
12,637,05.03.22,11.03.22,1922,199800,537000,53,0.27,62,0.31,127,0.24,8,337,0.01,0.63
13,638,12.03.22,18.03.22,1922,199800,537000,61,0.31,63,0.32,71,0.13,4,336,0.01,0.63
14,639,19.03.22,25.03.22,1922,199800,537000,52,0.26,14,0.07,14,0.03,1,314,0,0.58
15,640,26.03.22,01.04.22,1922,199800,537000,61,0.31,3,0.02,3,0.01,2,273,0,0.51
16,641,02.04.22,08.04.22,1922,199800,537000,49,0.25,24,0.12,24,0.04,0,333,0,0.62
17,642,09.04.22,15.04.22,1922,199800,537000,49,0.25,4,0.02,4,0.01,2,258,0,0.48
18,643,16.04.22,22.04.22,1922,199800,537000,51,0.26,1,0.01,1,0,8,312,0.01,0.58
19,644,23.04.22,29.04.22,1922,199800,537000,39,0.2,0,0,1,0,1,305,0,0.57
20,645,30.04.22,06.05.22,1922,199800,537000,49,0.25,1,0.01,1,0,0,290,0,0.54
21,646,07.05.22,13.05.22,1922,199800,537000,55,0.28,3,0.02,3,0.01,9,400,0.02,0.74
22,647,14.05.22,20.05.22,1922,199800,537000,45,0.23,2,0.01,2,0,0,272,0,0.51
23,648,21.05.22,27.05.22,1922,199800,537000,61,0.31,,0,,0,0,273,0,0.51
24,649,28.05.22,03.06.22,1922,199800,537000,48,0.24,,0,,0,1,280,0,0.52
25,650,04.06.22,10.06.22,1922,199800,537000,44,0.22,,0,,0,1,279,0,0.52
26,651,11.06.22,17.06.22,1922,199800,537000,43,0.22,,0,,0,0,269,0,0.5
27,652,18.06.22,24.06.22,1922,199800,537000,42,0.21,,0,,0,2,334,0,0.62
28,653,25.06.22,01.07.22,1922,199800,537000,42,0.21,,0,,0,1,301,0,0.56
29,654,02.07.22,08.07.22,1922,199800,537000,60,0.3,,0,,0,4,316,0.01,0.59
30,655,09.07.22,15.07.22,1922,199800,537000,31,0.16,,0,,0,2,310,0,0.58
31,656,16.07.22,22.07.22,1922,199800,537000,40,0.2,,0,,0,0,293,0,0.55
32,657,23.07.22,29.07.22,1922,199800,537000,40,0.2,,0,,0,3,274,0.01,0.51
33,658,30.07.22,05.08.22,1922,199800,537000,31,0.16,,0,,0,2,312,0,0.58
34,659,06.08.22,12.08.22,1922,199800,537000,51,0.26,,0,,0,3,285,0.01,0.53
35,660,13.08.22,19.08.22,1922,199800,537000,44,0.22,,0,,0,1,280,0,0.52
36,661,20.08.22,26.08.22,1922,199800,537000,45,0.23,,0,,0,6,292,0.01,0.54
37,662,27.08.22,02.09.22,1922,199800,537000,32,0.16,,0,,0,5,281,0.01,0.52
38,663,03.09.22,09.09.22,1922,199800,537000,50,0.25,0,0,1,0,2,291,0,0.54
39,664,10.09.22,16.09.22,1922,199800,537000,32,0.16,,0,,0,6,307,0.01,0.57
40,665,17.09.22,23.09.22,1922,199800,537000,33,0.17,,0,,0,7,278,0.01,0.52
41,666,24.09.22,30.09.22,1922,199800,537000,50,0.25,,0,,0,1,310,0,0.58
42,667,01.10.22,07.10.22,1922,199800,537000,41,0.21,,0,,0,1,304,0,0.57
43,668,08.10.22,14.10.22,1922,199800,537000,37,0.19,,0,,0,3,324,0.01,0.6
44,669,15.10.22,21.10.22,1922,199800,537000,42,0.21,,0,,0,6,307,0.01,0.57
45,670,22.10.22,28.10.22,1922,199800,537000,28,0.14,,0,,0,3,309,0.01,0.58
46,671,29.10.22,04.11.22,1922,199800,537000,45,0.23,,0,,0,0,314,0,0.58
47,672,05.11.22,11.11.22,1922,199800,537000,48,0.24,,0,,0,8,341,0.01,0.64
48,673,12.11.22,18.11.22,1922,199800,537000,49,0.25,3,0.02,3,0.01,0,277,0,0.52
49,674,19.11.22,25.11.22,1922,199800,537000,48,0.24,2,0.01,1,0,5,305,0.01,0.57
50,675,26.11.22,02.12.22,1922,199800,537000,49,0.25,,0,,0,4,321,0.01,0.6
51,676,03.12.22,09.12.22,1922,199800,537000,33,0.17,2,0.01,2,0,6,316,0.01,0.59
52,677,10.12.22,16.12.22,1922,199800,537000,44,0.22,,0,,0,6,300,0.01,0.56
1,678,17.12.22,23.12.22,1922,199800,537000,57,0.29,,0,,0,4,234,0.01,0.44
2,679,24.12.22,30.12.22,1922,199800,537000,59,0.3,3,0.02,3,0.01,0,229,0,0.43
3,680,31.12.22,06.01.23,1922,199800,537000,42,0.21,1,0.01,1,0,4,284,0.01,0.53
4,681,07.01.23,13.01.23,1923,202100,541000,58,0.29,,0,,0,2,333,0,0.62
5,682,14.01.23,20.01.23,1923,202100,541000,50,0.25,1,0,1,0,8,303,0.01,0.56
6,683,21.01.23,27.01.23,1923,202100,541000,41,0.2,6,0.03,7,0.01,2,331,0,0.61
7,684,28.01.23,03.02.23,1923,202100,541000,60,0.3,,0,,0,4,300,0.01,0.55
8,685,04.02.23,10.02.23,1923,202100,541000,44,0.22,1,0,1,0,5,285,0.01,0.53
9,686,11.02.23,17.02.23,1923,202100,541000,35,0.17,,0,,0,0,287,0,0.53
10,687,18.02.23,24.02.23,1923,202100,541000,58,0.29,3,0.01,9,0.02,4,294,0.01,0.54
11,688,25.02.23,03.03.23,1923,202100,541000,51,0.25,5,0.02,13,0.02,8,337,0.01,0.62
12,689,04.03.23,10.03.23,1923,202100,541000,42,0.21,2,0.01,16,0.03,3,308,0.01,0.57
13,690,11.03.23,17.03.23,1923,202100,541000,56,0.28,2,0.01,14,0.03,1,300,0,0.55
14,691,18.03.23,24.03.23,1923,202100,541000,56,0.28,9,0.04,24,0.04,5,272,0.01,0.5
15,692,25.03.23,31.03.23,1923,202100,541000,56,0.28,6,0.03,6,0.01,3,231,0.01,0.43
16,693,01.04.23,07.04.23,1923,202100,541000,57,0.28,9,0.04,9,0.02,11,340,0.02,0.63
17,694,08.04.23,14.04.23,1923,202100,541000,50,0.25,12,0.06,13,0.02,23,377,0.04,0.7
18,695,15.04.23,21.04.23,1923,202100,541000,46,0.23,5,0.02,5,0.01,11,313,0.02,0.58
19,696,22.04.23,28.04.23,1923,202100,541000,46,0.23,4,0.02,4,0.01,13,338,0.02,0.62
20,697,29.04.23,05.05.23,1923,202100,541000,56,0.28,3,0.01,9,0.02,8,360,0.01,0.67
21,698,06.05.23,12.05.23,1923,202100,541000,37,0.18,,0,,0,3,268,0.01,0.5
22,699,13.05.23,19.05.23,1923,202100,541000,48,0.24,4,0.02,4,0.01,3,304,0.01,0.56
23,700,20.05.23,26.05.23,1923,202100,541000,55,0.27,1,0,1,0,7,260,0.01,0.48
24,701,27.05.23,02.06.23,1923,202100,541000,51,0.25,1,0,1,0,3,298,0.01,0.55
25,702,03.06.23,09.06.23,1923,202100,541000,44,0.22,1,0,1,0,5,300,0.01,0.55
26,703,10.06.23,16.06.23,1923,202100,541000,51,0.25,1,0,1,0,6,256,0.01,0.47
27,704,17.06.23,23.06.23,1923,202100,541000,48,0.24,1,0,1,0,8,341,0.01,0.63
28,705,24.06.23,30.06.23,1923,202100,541000,47,0.23,,0,,0,4,348,0.01,0.64
29,706,01.07.23,07.07.23,1923,202100,541000,43,0.21,,0,,0,5,297,0.01,0.55
30,707,08.07.23,14.07.23,1923,202100,541000,48,0.24,,0,,0,11,336,0.02,0.62
31,708,15.07.23,21.07.23,1923,202100,541000,53,0.26,,0,,0,5,327,0.01,0.6
32,709,22.07.23,28.07.23,1923,202100,541000,34,0.17,,0,,0,3,290,0.01,0.54
33,710,29.07.23,04.08.23,1923,202100,541000,40,0.2,0,0,3,0.01,7,282,0.01,0.52
34,711,05.08.23,11.08.23,1923,202100,541000,47,0.23,,0,,0,3,291,0.01,0.54
35,712,12.08.23,18.08.23,1923,202100,541000,42,0.21,,0,,0,2,301,0,0.56
36,713,19.08.23,25.08.23,1923,202100,541000,30,0.15,,0,,0,7,335,0.01,0.62
37,714,26.08.23,01.09.23,1923,202100,541000,36,0.18,,0,,0,8,290,0.01,0.54
38,715,02.09.23,08.09.23,1923,202100,541000,31,0.15,0,0,2,0,12,376,0.02,0.7
39,716,09.09.23,15.09.23,1923,202100,541000,37,0.18,,0,,0,4,321,0.01,0.59
40,717,16.09.23,22.09.23,1923,202100,541000,42,0.21,,0,,0,12,310,0.02,0.57
41,718,23.09.23,29.09.23,1923,202100,541000,45,0.22,,0,,0,4,300,0.01,0.55
42,719,30.09.23,06.10.23,1923,202100,541000,35,0.17,,0,,0,4,343,0.01,0.63
43,720,07.10.23,13.10.23,1923,202100,541000,56,0.28,,0,,0,5,321,0.01,0.59
44,721,14.10.23,20.10.23,1923,202100,541000,36,0.18,,0,,0,2,279,0,0.52
45,722,21.10.23,27.10.23,1923,202100,541000,44,0.22,0,0,1,0,1,333,0,0.62
46,723,28.10.23,03.11.23,1923,202100,541000,34,0.17,1,0,1,0,8,318,0.01,0.59
47,724,04.11.23,10.11.23,1923,202100,541000,41,0.2,,0,,0,13,327,0.02,0.6
48,725,11.11.23,17.11.23,1923,202100,541000,42,0.21,0,0,1,0,4,312,0.01,0.58
49,726,18.11.23,24.11.23,1923,202100,541000,52,0.26,0,0,20,0.04,2,292,0,0.54
50,727,25.11.23,01.12.23,1923,202100,541000,64,0.32,,0,,0,9,304,0.02,0.56
51,728,02.12.23,08.12.23,1923,202100,541000,42,0.21,1,0,1,0,5,306,0.01,0.57
52,729,09.12.23,15.12.23,1923,202100,541000,52,0.26,2,0.01,2,0,5,303,0.01,0.56
1,730,16.12.23,22.12.23,1923,202100,541000,42,0.21,,0,,0,9,247,0.02,0.46
2,731,23.12.23,29.12.23,1923,202100,541000,45,0.22,,0,,0,6,215,0.01,0.4
3,732,30.12.23,05.01.24,1923,202100,541000,45,0.22,,0,,0,9,281,0.02,0.52
4,733,06.01.24,12.01.24,1924,205900,545000,60,0.29,,0,,0,9,406,0.02,0.74
5,734,13.01.24,19.01.24,1924,205900,545000,51.5,0.25,1,0,1,0,17,392,0.03,0.72
6,735,20.01.24,26.01.24,1924,205900,545000,43,0.21,87,0.42,88,0.16,25,378,0.05,0.69
7,736,27.01.24,02.02.24,1924,205900,545000,80,0.39,182,0.88,320,0.59,32,381,0.06,0.7
8,737,03.02.24,09.02.24,1924,205900,545000,56,0.27,823,4,1013,1.86,31,398,0.06,0.73
9,738,10.02.24,16.02.24,1924,205900,545000,70,0.34,1116,5.42,1444,2.65,41,423,0.08,0.78
10,739,17.02.24,23.02.24,1924,205900,545000,58,0.28,741,3.6,1125,2.06,36,390,0.07,0.72
11,740,24.02.24,01.03.24,1924,205900,545000,79,0.38,310,1.51,474,0.87,26,355,0.05,0.65
12,741,02.03.24,08.03.24,1924,205900,545000,58,0.28,259,1.26,405,0.74,38,397,0.07,0.73
13,742,09.03.24,15.03.24,1924,205900,545000,57,0.28,86,0.42,152,0.28,28,390,0.05,0.72
14,743,16.03.24,22.03.24,1924,205900,545000,64,0.31,58,0.28,104,0.19,24,339,0.04,0.62
15,744,23.03.24,29.03.24,1924,205900,545000,68,0.33,201,0.98,282,0.52,14,366,0.03,0.67
16,745,30.03.24,05.04.24,1924,205900,545000,62,0.3,81,0.39,109,0.2,19,362,0.03,0.66
17,746,06.04.24,12.04.24,1924,205900,545000,59,0.29,91,0.44,112,0.21,18,336,0.03,0.62
18,747,13.04.24,19.04.24,1924,205900,545000,52,0.25,47,0.23,50,0.09,10,254,0.02,0.47
19,748,20.04.24,26.04.24,1924,205900,545000,67,0.33,21,0.1,21,0.04,5,327,0.01,0.6
20,749,27.04.24,03.05.24,1924,205900,545000,47,0.23,10,0.05,10,0.02,10,369,0.02,0.68
21,750,04.05.24,10.05.24,1924,205900,545000,51,0.25,29,0.14,29,0.05,1,366,0,0.67
22,751,11.05.24,17.05.24,1924,205900,545000,54,0.26,,0,,0,1,325,0,0.6
23,752,18.05.24,24.05.24,1924,205900,545000,47,0.23,0,0,1,0,7,325,0.01,0.6
24,753,25.05.24,31.05.24,1924,205900,545000,55,0.27,,0,,0,6,329,0.01,0.6
25,754,01.06.24,07.06.24,1924,205900,545000,53,0.26,,0,,0,6,314,0.01,0.58
26,755,08.06.24,14.06.24,1924,205900,545000,39,0.19,1,0,1,0,2,312,0,0.57
27,756,15.06.24,21.06.24,1924,205900,545000,38,0.18,1,0,1,0,1,259,0,0.48
28,757,22.06.24,28.06.24,1924,205900,545000,45,0.22,,0,,0,6,338,0.01,0.62
29,758,29.06.24,05.07.24,1924,205900,545000,49,0.24,,0,,0,6,353,0.01,0.65
30,759,06.07.24,12.07.24,1924,205900,545000,40,0.19,2,0.01,2,0,8,345,0.01,0.63
31,760,13.07.24,19.07.24,1924,205900,545000,32,0.16,,0,,0,8,323,0.01,0.59
32,761,20.07.24,26.07.24,1924,205900,545000,43,0.21,,0,,0,3,318,0.01,0.58
33,762,27.07.24,02.08.24,1924,205900,545000,43,0.21,,0,,0,8,289,0.01,0.53
34,763,03.08.24,09.08.24,1924,205900,545000,45,0.22,,0,,0,9,333,0.02,0.61
35,764,10.08.24,16.08.24,1924,205900,545000,39,0.19,,0,,0,6,362,0.01,0.66
36,765,17.08.24,23.08.24,1924,205900,545000,43,0.21,,0,,0,7,329,0.01,0.6
37,766,24.08.24,30.08.24,1924,205900,545000,44,0.21,,0,,0,10,303,0.02,0.56
38,767,31.08.24,06.09.24,1924,205900,545000,51,0.25,,0,,0,12,345,0.02,0.63
39,768,07.09.24,13.09.24,1924,205900,545000,37,0.18,,0,,0,2,329,0,0.6
40,769,14.09.24,20.09.24,1924,205900,545000,43,0.21,,0,,0,6,346,0.01,0.63
41,770,21.09.24,27.09.24,1924,205900,545000,43,0.21,,0,,0,2,292,0,0.54
42,771,28.09.24,04.10.24,1924,205900,545000,38,0.18,1,0,1,0,5,345,0.01,0.63
43,772,05.10.24,11.10.24,1924,205900,545000,43,0.21,1,0,1,0,8,360,0.01,0.66
44,773,12.10.24,18.10.24,1924,205900,545000,45,0.22,,0,,0,6,295,0.01,0.54
45,774,19.10.24,25.10.24,1924,205900,545000,40,0.19,,0,,0,10,401,0.02,0.74
46,775,26.10.24,01.11.24,1924,205900,545000,50,0.24,,0,,0,2,322,0,0.59
47,776,02.11.24,08.11.24,1924,205900,545000,42,0.2,,0,,0,7,316,0.01,0.58
48,777,09.11.24,15.11.24,1924,205900,545000,40,0.19,,0,,0,4,318,0.01,0.58
49,778,16.11.24,22.11.24,1924,205900,545000,45,0.22,,0,,0,2,310,0,0.57
50,779,23.11.24,29.11.24,1924,205900,545000,62,0.3,,0,,0,9,301,0.02,0.55
51,780,30.11.24,06.12.24,1924,205900,545000,51,0.25,,0,,0,7,320,0.01,0.59
52,781,07.12.24,13.12.24,1924,205900,545000,52,0.25,1,0,1,0,4,303,0.01,0.56
53,782,14.12.24,20.12.24,1924,205900,545000,56,0.27,8,0.04,8,0.01,6,268,0.01,0.49
1,783,21.12.24,27.12.24,1924,205900,545000,45,0.22,,0,,0,6,194,0.01,0.36
2,784,28.12.24,03.01.25,1924,205900,545000,39,0.19,,0,,0,7,271,0.01,0.5
3,785,04.01.25,10.01.25,1925,208000,549000,68,0.33,1,0,2,0,14,386,0.03,0.7
4,786,11.01.25,17.01.25,1925,208000,549000,51,0.25,21,0.1,21,0.04,5,352,0.01,0.64
5,787,18.01.25,24.01.25,1925,208000,549000,38,0.18,,0,,0,7,361,0.01,0.66
6,788,25.01.25,31.01.25,1925,208000,549000,61,0.29,8,0.04,8,0.01,10,391,0.02,0.71
7,789,01.02.25,07.02.25,1925,208000,549000,54,0.26,14,0.07,14,0.03,7,367,0.01,0.67
8,790,08.02.25,14.02.25,1925,208000,549000,58,0.28,2,0.01,2,0,3,358,0.01,0.65
9,791,15.02.25,21.02.25,1925,208000,549000,48,0.23,16,0.08,26,0.05,13,387,0.02,0.7
10,792,22.02.25,28.02.25,1925,208000,549000,56,0.27,17,0.08,20,0.04,5,327,0.01,0.6
11,793,01.03.25,07.03.25,1925,208000,549000,57,0.27,36,0.17,36,0.07,9,389,0.02,0.71
12,794,08.03.25,14.03.25,1925,208000,549000,58,0.28,50,0.24,56,0.1,22,413,0.04,0.75
13,795,15.03.25,21.03.25,1925,208000,549000,51,0.25,67,0.32,75,0.14,4,379,0.01,0.69
14,796,22.03.25,28.03.25,1925,208000,549000,52,0.25,170,0.82,207,0.38,11,357,0.02,0.65
15,797,29.03.25,04.04.25,1925,208000,549000,55,0.26,104,0.5,110,0.2,7,369,0.01,0.67
16,798,05.04.25,11.04.25,1925,208000,549000,60,0.29,38,0.18,39,0.07,6,345,0.01,0.63
17,799,12.04.25,18.04.25,1925,208000,549000,63,0.3,12,0.06,12,0.02,4,379,0.01,0.69
18,800,19.04.25,25.04.25,1925,208000,549000,50,0.24,23,0.11,23,0.04,3,224,0.01,0.41
19,801,26.04.25,02.05.25,1925,208000,549000,52,0.25,1,0,1,0,14,340,0.03,0.62
20,802,03.05.25,09.05.25,1925,208000,549000,48,0.23,3,0.01,4,0.01,11,391,0.02,0.71
21,803,10.05.25,16.05.25,1925,208000,549000,55,0.26,3,0.01,3,0.01,6,384,0.01,0.7
22,804,17.05.25,23.05.25,1925,208000,549000,68,0.33,,0,,0,14,381,0.03,0.69
23,805,24.05.25,30.05.25,1925,208000,549000,44,0.21,1,0,1,0,10,332,0.02,0.6
24,806,31.05.25,06.06.25,1925,208000,549000,46,0.22,,0,,0,3,395,0.01,0.72
25,807,07.06.25,13.06.25,1925,208000,549000,51,0.25,,0,,0,7,386,0.01,0.7
26,808,14.06.25,20.06.25,1925,208000,549000,43,0.21,,0,,0,4,354,0.01,0.64
27,809,21.06.25,27.06.25,1925,208000,549000,36,0.17,,0,,0,3,354,0.01,0.64
28,810,28.06.25,04.07.25,1925,208000,549000,42,0.2,,0,,0,1,347,0,0.63
29,811,05.07.25,11.07.25,1925,208000,549000,34,0.16,,0,,0,10,379,0.02,0.69
30,812,12.07.25,18.07.25,1925,208000,549000,52,0.25,,0,,0,4,333,0.01,0.61
31,813,19.07.25,25.07.25,1925,208000,549000,45,0.22,,0,,0,2,391,0,0.71
32,814,26.07.25,01.08.25,1925,208000,549000,40,0.19,,0,,0,1,352,0,0.64
33,815,02.08.25,08.08.25,1925,208000,549000,38,0.18,,0,,0,6,334,0.01,0.61
34,816,09.08.25,15.08.25,1925,208000,549000,46,0.22,,0,,0,5,335,0.01,0.61
35,817,16.08.25,22.08.25,1925,208000,549000,33,0.16,,0,,0,9,374,0.02,0.68
36,818,23.08.25,29.08.25,1925,208000,549000,50,0.24,,0,,0,3,367,0.01,0.67
37,819,30.08.25,05.09.25,1925,208000,549000,58,0.28,,0,,0,10,400,0.02,0.73
38,820,06.09.25,12.09.25,1925,208000,549000,46,0.22,,0,,0,12,472,0.02,0.86
39,821,13.09.25,19.09.25,1925,208000,549000,42,0.2,,0,,0,8,345,0.01,0.63
40,822,20.09.25,26.09.25,1925,208000,549000,42,0.2,2,0.01,2,0,5,361,0.01,0.66
41,823,27.09.25,03.10.25,1925,208000,549000,48,0.23,1,0,1,0,8,364,0.01,0.66
42,824,04.10.25,10.10.25,1925,208000,549000,45,0.22,,0,,0,3,408,0.01,0.74
43,825,11.10.25,17.10.25,1925,208000,549000,50,0.24,3,0.01,3,0.01,5,334,0.01,0.61
44,826,18.10.25,24.10.25,1925,208000,549000,53,0.25,,0,,0,0,362,0,0.66
45,827,25.10.25,31.10.25,1925,208000,549000,48.5,0.23,,0,,0,3,360.5,0.01,0.66
46,828,01.11.25,07.11.25,1925,208000,549000,44,0.21,,0,,0,6,359,0.01,0.65
47,829,08.11.25,14.11.25,1925,208000,549000,49,0.24,1,0,1,0,3,368,0.01,0.67
48,830,15.11.25,21.11.25,1925,208000,549000,45,0.22,,0,,0,2,383,0,0.7
49,831,22.11.25,28.11.25,1925,208000,549000,58,0.28,,0,,0,0,327,0,0.6
50,832,29.11.25,05.12.25,1925,208000,549000,42,0.2,,0,,0,0,386,0,0.7
51,833,06.12.25,12.12.25,1925,208000,549000,53,0.25,,0,,0,4,351,0.01,0.64
52,834,13.12.25,19.12.25,1925,208000,549000,68,0.33,7,0.03,7,0.01,7,302,0.01,0.55